mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,mfcc_53,mfcc_54,mfcc_55,mfcc_56,mfcc_57,mfcc_58,mfcc_59,mfcc_60,mfcc_61,mfcc_62,mfcc_63,mfcc_64,mfcc_65,mfcc_66,mfcc_67,mfcc_68,mfcc_69,mfcc_70,mfcc_71,mfcc_72,mfcc_73,mfcc_74,mfcc_75,mfcc_76,mfcc_77,mfcc_78,mfcc_79,mfcc_80,mfcc_81,mfcc_82,mfcc_83,mfcc_84,mfcc_85,mfcc_86,mfcc_87,mfcc_88,mfcc_89,mfcc_90,mfcc_91,mfcc_92,mfcc_93,mfcc_94,mfcc_95,mfcc_96,mfcc_97,mfcc_98,mfcc_99,mfcc_100,mfcc_101,mfcc_102,mfcc_103,mfcc_104,mfcc_105,mfcc_106,mfcc_107,mfcc_108,mfcc_109,mfcc_110,mfcc_111,mfcc_112,mfcc_113,mfcc_114,mfcc_115,mfcc_116,mfcc_117,mfcc_118,mfcc_119,Ragas
-91.93256,161.09735,-74.48615,5.610997,-51.73979,-6.5975504,-29.294106,-30.923,-33.289433,-28.63306,-5.0824094,-15.076988,2.2231417,-13.637671,-0.7535933,-8.238071,-22.95568,-7.8255405,-16.778585,-16.579552,-10.920128,-13.832139,-22.787886,-9.070496,-1.089199,-9.138933,-6.6369667,-2.7329483,-1.7397616,-6.4846764,-6.4278703,-0.8060987,7.3919616,0.3859731,-2.2041714,3.7829351,-8.075296,-2.5928032,4.421869,5.191893,-0.044838373,0.040250324,-0.036205333,0.006351949,-0.013335588,-0.0025126012,-0.009330751,-0.0074979425,-0.0044599185,-0.018567974,0.0052054897,-0.004410794,0.002974133,-0.0151655795,-0.011676445,-0.01159475,-0.011030136,-0.021819055,-0.014149128,-0.016547691,-0.018091384,-0.010100118,-0.0052221986,-0.005112401,-0.0047344705,-0.011288221,-0.009358128,-0.0059549613,0.0025149148,-0.0047561866,0.0027208498,0.00080146285,0.009458556,0.004560137,-0.0044729738,-0.0031277433,0.00019092973,-0.0010768048,0.0038535101,0.007913753,0.014695468,-0.018680004,0.021095451,-0.0043629045,0.015485317,0.0062124827,0.0030048343,0.0074908813,0.0013622395,0.0037606265,-0.000118876575,0.0076433853,0.0013725042,0.0078090774,0.0008033686,0.0077716443,0.009001855,0.0015581159,0.00083117053,0.0025724159,0.007860997,0.0067760576,0.0016441487,0.0038579262,-0.00073593174,0.0012605055,0.0016124324,0.004853066,-0.00028074914,0.0022610843,0.0014480106,0.00094584655,0.0030716527,0.0005945902,-0.0014743624,0.0013904357,0.003357727,0.00020141443,-0.0030191934,-0.00036815213,Asavari
-91.2585,158.84016,-97.33317,10.908467,-51.64365,2.591705,-17.953047,-14.719214,-21.745289,-20.418858,0.13721913,-21.972996,-4.068222,-15.47244,-5.3910565,-16.703527,-21.579407,-9.30307,-17.795122,-12.782668,-13.613349,-13.176213,-20.80372,-7.0896125,-1.6482924,-11.400321,-11.253267,-6.183481,-3.933412,-7.0036464,0.32942942,-2.1454806,2.8301632,-1.1691314,-7.227004,0.47801223,-3.4273334,-1.15831,2.651538,6.354725,-0.056286354,0.049917415,0.022516716,-0.004998055,-0.034753893,-0.0055888635,0.012676456,0.0005037903,-0.0048165107,-0.021459455,0.033792578,0.0021973187,-0.035358895,-0.007404472,-0.003349378,0.0070169037,0.0011852386,0.005978608,-0.00030171833,-0.008054952,0.00493157,-0.01271948,0.008650708,-0.008097448,0.0036901962,0.013850613,-0.011490199,0.0024041221,-0.0062159607,-0.024372956,0.012065197,0.0022433202,-0.0019029353,0.006744153,-0.00433028,-0.010222379,0.0014759905,-0.005441084,-0.007929558,-0.012860369,-0.02354138,-0.004445285,0.015677992,-0.018886277,0.012455284,-0.0063631623,-0.00056582293,-0.002957099,-0.0028818601,0.006331788,-0.0020908823,0.0035203611,-0.0017050883,-0.004667538,-0.0068153096,0.0019278041,0.0004948911,0.0016910856,0.0014099369,0.00032128574,0.003123501,0.0017052861,-0.001515858,-0.0015959239,0.0005400282,-0.0016513236,-0.0009628538,0.004080424,-0.006377534,0.0010219559,0.002528054,5.990931e-05,-0.0025638,-0.0027400567,-0.0011604653,-0.0021618258,-0.0045689614,0.0004121089,-0.0006456629,-0.0027937014,Asavari
-91.25854,158.84012,-97.33318,10.908427,-51.643707,2.5916836,-17.953094,-14.71927,-21.745275,-20.418982,0.13729092,-21.97312,-4.0681934,-15.472529,-5.3910823,-16.70353,-21.579521,-9.302995,-17.795269,-12.782563,-13.613511,-13.176144,-20.803877,-7.0895457,-1.6484054,-11.400285,-11.253377,-6.1834416,-3.9335167,-7.003639,0.3293628,-2.1455092,2.8301606,-1.1692092,-7.2269554,0.47788298,-3.4272602,-1.1584302,2.6515849,6.3546515,-0.05628368,0.049913105,0.022520998,-0.005002456,-0.03475037,-0.0055916514,0.012676974,0.0005052134,-0.004819904,-0.021455228,0.033786684,0.0022037346,-0.03536469,-0.0074015786,-0.0033498383,0.007014654,0.0011901723,0.005970249,-0.0002915778,-0.008065553,0.0049405163,-0.012726057,0.0086539555,-0.008097005,0.0036861314,0.013857251,-0.011497976,0.0024116575,-0.006222976,-0.024367256,0.012062193,0.002243573,-0.0019014399,0.0067421584,-0.0043271347,-0.010226597,0.0014800985,-0.005443458,-0.007927677,-0.012862539,-0.023542259,-0.0044447603,0.015677968,-0.018887011,0.012456303,-0.0063652513,-0.0005636538,-0.0029588626,-0.002880869,0.006331573,-0.0020922676,0.0035232047,-0.0017089157,-0.0046637026,-0.006819181,0.0019316815,0.0004915772,0.0016930574,0.0014085394,0.00032237457,0.0031225756,0.00170617,-0.001517502,-0.0015934702,0.00053789356,-0.0016496134,-0.0009640126,0.0040810485,-0.006376665,0.0010198298,0.0025314104,5.6532514e-05,-0.0025604994,-0.0027423834,-0.001158806,-0.0021623974,-0.0045682457,0.00041157025,-0.0006447649,-0.0027944422,Asavari
-134.36537,170.13786,-64.374504,-2.508348,-32.988396,-11.792784,-21.47275,-13.591596,-30.106932,-25.374166,7.053655,-18.555445,-7.3557067,-9.864565,-6.8445363,-5.519435,-16.982935,-3.9517443,-11.178947,-13.044512,-11.540913,-19.00728,-16.598232,-7.94159,-1.6191616,-7.618075,-8.982267,2.030468,-5.17521,-10.93367,-2.9986072,-3.5100756,1.0468502,-3.3838086,-4.7271037,2.6077418,-0.7349495,2.7026227,1.793977,3.6852303,0.032140225,-0.026573477,-0.018421669,-0.02042003,-0.03200501,0.0074665924,0.0100158565,0.014817894,-0.006411771,-0.012042443,0.020583076,0.005394861,-0.024898125,-0.012617858,0.0045013702,-0.017262775,-0.0111786295,-0.013199846,-0.0112968935,0.008983913,-0.0015819136,-0.011487126,0.0033184404,-0.01027084,-0.022020107,0.010841455,-0.011067553,-0.0010380449,0.018759774,0.0138687575,0.024159733,0.0025748322,0.0020868639,-0.0018890642,-0.0036774273,-0.00066866004,0.011111265,-0.0009693391,-0.004109152,0.008456584,0.01160595,-0.016071398,0.00688266,-0.0036626349,0.00093262095,0.010843241,0.0028277123,0.0059668897,0.01415095,0.003727617,0.0005109157,0.011783909,0.0032974824,0.007959135,0.005130217,0.0059582014,0.015433274,0.0041493364,0.0083490955,0.0077588432,0.0046388307,0.0056973463,0.0066344975,0.002318698,-0.0033921693,0.0039112433,0.0046172515,0.009063864,0.008278155,0.0018605359,-0.00058378006,-0.0088484585,-0.00416229,0.0032986845,0.0063234675,0.0067564133,-0.0028486818,-0.0060288426,-0.0026614186,0.006526171,Asavari
-86.146935,171.1695,-77.141716,11.515923,-32.75034,-5.1639686,-31.361664,-34.888695,-32.156494,-20.962145,-4.6212707,-25.675997,1.3743777,-12.453473,-13.39292,-13.500804,-14.911893,2.0307093,-11.524011,-14.092601,-15.843337,-13.559956,-17.12054,-11.21533,-3.5209582,-11.118468,-5.992274,-2.4545949,-4.4303226,-4.586118,-2.00955,-4.6492476,2.4201398,1.2525103,-4.1670957,-1.2690439,-6.852605,2.837515,0.9793378,-3.2080977,-0.019736921,-0.011979137,-0.010243709,-0.0056074765,4.0105253e-05,-0.0063684806,-0.009675313,-0.0055540465,0.0029050107,-0.005838076,-0.0052710045,-0.0028646989,-0.008489555,-0.0186573,-0.0045494437,-0.003547137,0.0016047324,0.013276784,0.003989194,-0.011615632,-0.009945384,-0.0070405123,-0.004914886,0.005933229,0.0036395593,0.003541607,0.012678555,-0.002067052,-0.0019163366,0.0032326023,0.0044017998,0.0038176654,-0.0050718673,-0.0034595751,-0.0034363882,3.9390736e-05,-0.009032959,0.0026832963,0.00043375796,-0.0028826096,0.011032878,0.013637237,0.016903086,0.005370392,0.0091578085,0.00840278,0.013974805,0.012271117,0.008871908,0.01265581,0.009133036,0.006765004,-0.00085699704,0.009709153,0.002186507,0.0052010696,0.011739626,0.0040448466,0.006689398,1.2609335e-05,0.0015396677,0.0058135404,0.0016548213,0.003054948,0.0021476336,0.0018164654,0.0025949904,0.0061362563,0.001144651,0.0036503638,-4.3092036e-06,-0.000699051,0.0015722627,-0.004815322,0.008010108,0.0019249661,0.004044977,-0.00015038566,-0.0007251262,0.0024302031,Asavari
-290.8705,53.434162,-12.455335,34.640823,-11.45755,9.337,0.87167346,-0.08929968,1.9750372,5.264939,-3.6018686,-5.567632,-13.009814,6.1673994,-9.755681,2.7262924,1.316335,7.38974,9.427448,9.555194,0.42987534,-2.097427,-0.6525753,0.6168757,5.323985,7.962654,-2.7190192,5.440652,2.0339851,5.502172,5.390908,2.5390432,-2.0478017,4.1387935,3.0962925,4.400817,-0.004044571,3.6347528,1.5059569,0.36457148,0.16111158,0.029794952,-0.02859483,0.0024692207,-0.029521205,0.003830703,0.004617089,-0.019084862,0.000991994,0.01720661,-0.0041957214,-0.0022574284,-0.015219456,-0.004152772,-0.009693343,0.00072595576,-0.0005563926,-0.0018333156,0.00065169466,-0.005253176,-0.0017691544,-0.0114561,-0.004923622,-0.006741249,0.0007895294,0.006969154,-0.016789373,-0.0071280245,-0.011120861,-0.008889284,0.014663602,0.022297593,0.036804784,0.04450292,0.012063309,0.0018982932,-0.009489524,-0.0076296264,0.008152785,0.008840708,0.0011088708,0.002594082,0.006691094,-0.00054131314,-0.0018083747,-0.0021663492,0.0004120194,-0.00073481345,-0.0011020161,-0.0010546363,-0.0016036116,-0.0011260263,-0.005572096,-0.0029315206,4.0721505e-05,0.001337504,0.0014647635,-0.0016036241,-0.0043502073,-0.003628093,-0.0006267622,0.0029831827,0.0022860449,0.0032954342,0.0032689476,0.001003156,-0.00097178563,-9.8264994e-05,-0.001933155,0.0008914917,0.00096373365,-0.00047709956,-0.0033664173,-0.0077485256,-0.005759626,-0.0005218112,0.0032621778,-0.0014469147,-0.00060245645,0.0008730335,Asavari
-506.32498,71.63525,-3.6879773,31.755243,-3.1746747,11.274954,-2.567911,2.8598683,6.141507,8.235992,-2.255334,-7.0890803,-3.1730428,6.6821666,-9.932247,5.7763953,4.6610293,10.722082,11.155954,11.109815,3.470674,4.2926946,-0.19193818,3.2110052,3.105667,7.646997,2.1085157,4.197591,3.328134,1.814051,5.2460957,3.130633,-1.4580971,2.978358,-1.0856707,5.0021253,-1.9380099,5.635865,2.6893468,3.4065666,-0.05533945,0.021220192,-0.010555166,0.022873314,0.0072995885,0.0037563306,-0.001532125,-0.0031083373,0.0031631964,-0.010106934,-0.00988057,-0.0029347828,-0.007163916,-0.003714436,-0.0038340257,0.0025080128,-0.0047580088,-0.008895262,0.002194003,0.019476121,0.024712108,0.022889756,0.022762373,0.008849221,-0.0035473998,-0.01290054,-0.0009309714,0.006982257,0.010247901,-0.0060948767,-0.009872154,-0.0012208346,0.00087197276,0.0053832694,0.000110030545,-0.0126463445,-0.008544599,0.0054115574,-0.0052775494,-0.002565203,0.106083475,0.0032659427,0.010175545,-0.0011237062,-0.011847869,-0.00949152,0.00062998215,0.00021428654,-0.009777558,-0.008541132,0.0042541604,0.003262704,-0.008391484,-0.0015976226,0.002515928,0.0033169738,0.0010959912,-0.0064044744,0.00014064703,-0.008912757,-0.013436595,-0.0022710906,0.0048348014,0.0083842045,0.0067130523,0.0025600353,-0.0011187061,0.0030124616,0.0042371964,0.002568383,-0.0031294196,-0.0030518651,-0.0030280391,0.00769803,0.007749946,-0.002019659,-0.001927765,0.0049610888,2.5446385e-05,-0.0129720755,Asavari
-326.50812,75.11626,-4.7571063,29.438662,-5.328754,8.020512,2.9030476,-0.41100097,1.2792937,11.635124,-4.454766,-6.6277266,-5.5453005,4.036919,-6.626588,-2.449189,-2.9754908,-2.2695928,-2.6148443,6.0250683,-4.069729,1.4072837,0.6406005,-0.34862155,1.2097259,9.2752,-0.26622495,10.673499,5.7147975,3.4634597,8.237026,4.6933165,6.3457847,6.805375,1.4734267,5.5214124,-0.6853093,3.205111,-1.60332,1.3084131,0.057117037,0.045057647,0.028493725,-0.011624137,-0.026641067,-0.007386746,0.010271733,-0.004843312,0.008768213,-0.0038366143,-0.014557475,-0.0039665448,-0.021238467,-0.012274574,-0.003608486,-0.0059488826,-0.0012902977,-0.0027779327,-0.0075846235,0.00020840995,-0.005781011,-0.0031418358,-0.0088562295,-0.012501717,-0.0071333083,-0.00905578,0.008008781,0.031014966,0.035829898,0.028143695,0.01485643,-0.00703863,-0.007755613,-0.003945091,0.0035958954,0.0025612374,-0.00034649085,-0.011317337,-0.007347362,-0.0028736787,-0.03114279,0.012204656,0.01572278,0.0048397966,-0.0020215833,-0.005601192,0.0012746361,-0.0056146323,0.0005677648,-0.0011916943,0.0006913786,-0.0076019135,-0.0041816775,-0.0030909278,-0.0066044996,0.0019621374,0.0014999127,0.00062575133,0.0039354553,-0.002176315,0.004205484,0.0017439644,-0.005649353,0.0008379898,0.0038784011,0.0004427946,-0.00022044491,0.0006135579,-0.0019984806,-0.008095195,-0.008124567,-0.0098333135,-0.005295185,0.0002296436,0.004055636,0.00069162773,-0.0044652214,-0.004385122,0.003080507,0.0025746922,Asavari
-324.52618,73.46243,-4.255455,28.757643,-4.562164,9.236086,4.4116645,-0.34010547,-0.050560825,12.679931,-3.8750324,-5.989356,-5.1272736,2.791527,-5.802839,-2.0301063,-4.744127,-1.9507269,-2.6790385,5.3403497,-1.0006421,0.5025358,0.7211549,1.4142501,0.0118817305,9.405364,-0.13568488,10.383614,5.810584,3.5527725,7.322828,5.2698293,4.205566,6.7785726,1.7441419,6.017814,0.23467964,2.4724884,-0.971948,2.9342563,0.03246624,0.0905285,0.0019526643,-0.029330235,0.0061248927,-0.018655233,-0.004880499,0.0031327899,-0.000330581,0.006981292,-0.01122201,-0.0041155275,-0.009883703,-0.014243613,0.0015449096,-0.001822906,-0.008636508,-0.007333892,-0.013726401,-0.008319209,-0.0028874394,-0.003424071,-0.00058823917,-0.007210458,-0.013286727,-0.010341484,0.00042390823,0.02085821,0.0312513,0.033182964,0.028889287,0.005119396,-0.006739203,-0.001951132,0.0028778051,0.0038215672,0.006178017,-0.009792885,-0.011340824,-0.005564938,-0.04499487,0.0435966,-0.007581153,-0.0066591823,0.007692066,-0.009153288,-0.0024164324,0.0019145869,-0.009301216,0.0054291086,-0.0024248415,-6.538039e-05,-0.0055534285,-0.0010069786,9.580386e-05,-0.002155566,-0.0023820552,-0.002332639,-0.0011252759,-0.0014851986,-0.0033383558,0.0019035976,0.006612267,0.002030791,0.0024541744,-0.0051433844,-0.0059041455,-0.0067692143,-0.006437452,-0.007278084,-0.0010452708,-0.0008737576,9.518105e-05,4.2252865e-05,-0.00037701544,2.2956092e-05,0.0042494615,0.0019106809,-0.003566738,-0.0073863035,Asavari
-324.52588,73.46226,-4.255318,28.757462,-4.561952,9.235901,4.411661,-0.33989024,-0.05097385,12.68037,-3.8754933,-5.9888086,-5.1280193,2.7920244,-5.8031354,-2.0298812,-4.7439985,-1.9507082,-2.6788175,5.3401666,-1.0003953,0.50238377,0.7211833,1.4141655,0.012065214,9.405038,-0.1353816,10.38307,5.8112426,3.5517728,7.3236747,5.269008,4.2063284,6.777864,1.7447658,6.0174294,0.23509276,2.4723992,-0.9719207,2.9343324,0.032465335,0.09055431,0.0019311551,-0.029304821,0.006078543,-0.018618638,-0.0049275556,0.00317245,-0.00035422947,0.0070165843,-0.011253078,-0.0040968135,-0.009900699,-0.014242488,0.0015325126,-0.0018134061,-0.008618527,-0.0073477034,-0.013712101,-0.008341553,-0.0028709685,-0.0034366297,-0.00057264045,-0.0072244345,-0.013261997,-0.0103686275,0.00044741423,0.02081374,0.031289008,0.03315302,0.028916817,0.00511011,-0.0067352112,-0.0019510553,0.0028858804,0.0038279598,0.006168731,-0.00980439,-0.011340125,-0.005554118,-0.045011368,0.043612517,-0.007595018,-0.0066562016,0.0077008107,-0.009169017,-0.0023935188,0.0018968143,-0.009280447,0.005392941,-0.0024011713,-8.0770755e-05,-0.005521652,-0.0010243283,0.00010984887,-0.0021721602,-0.0023900839,-0.0023290263,-0.0011240331,-0.0014727465,-0.0033366717,0.001904931,0.0066157393,0.0020147965,0.0024648537,-0.0051574213,-0.0058892667,-0.0067729317,-0.006436878,-0.007286159,-0.0010423976,-0.0008808275,0.00010150634,4.968804e-05,-0.0003771162,2.1558797e-05,0.004242899,0.0019165658,-0.003573398,-0.0073784366,Asavari
